,FullClassPath,SubClassPath,SpeculativeGenerality,BaseClassKnowsDerivedClass,MessageChains,LongParameterList,SpaghettiCode,BaseClassShouldBeAbstract,LongMethod,ClassDataShouldBePrivate,TraditionBreaker,ManyFieldAttributesButNotComplex,RefusedParentBequest,SwissArmyKnife,Blob,AntiSingleton,ComplexClass,LargeClass,FunctionalDecomposition,LazyClass,label
764,org.gjt.sp.jedit.options.AbbrevsOptionPane,jedit.options.AbbrevsOptionPane,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,Service Provider
765,org.gjt.sp.jedit.bufferset.BufferSet,jedit.bufferset.BufferSet,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Service Provider
766,org.gjt.sp.jedit.pluginmgr.PluginList,jedit.pluginmgr.PluginList,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Service Provider
767,org.gjt.sp.jedit.textarea.DisplayManager,jedit.textarea.DisplayManager,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,Service Provider
768,org.gjt.sp.jedit.gui.KeyEventWorkaround,jedit.gui.KeyEventWorkaround,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,Service Provider
769,org.gjt.sp.jedit.search.SearchAndReplace,jedit.search.SearchAndReplace,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,Information Holder
770,org.gjt.sp.jedit.search.PatternSearchMatcher,jedit.search.PatternSearchMatcher,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,Service Provider
771,org.gjt.sp.jedit.gui.ColorChooserDialog,jedit.gui.ColorChooserDialog,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Information Holder
772,org.gjt.sp.jedit.print.BufferPrinter1_7,jedit.print.BufferPrinter1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Service Provider
773,org.gjt.sp.jedit.print.BufferPrinter1_7,jedit.print.BufferPrinter1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Service Provider
774,org.gjt.sp.jedit.print.BufferPrinter1_7,jedit.print.BufferPrinter1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Service Provider
775,org.gjt.sp.jedit.EditServer,jedit.EditServer,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Service Provider
